taskId,num_round,max_depth,subsample,colsample_bytree,colsample_bylevel,total_example,error_cnt,error_rate,start_time,end_time,cost_time_s,pro>=90_cnt,pro>=90_cnt_rate,pro>=90_error,pro>=90_error_rate,pro>=80_cnt,pro>=80_cnt_rate,pro>=80_error,pro>=80_error_rate,pro>=70_cnt,pro>=70_cnt_rate,pro>=70_error,pro>=70_error_rate,pro>=60_cnt,pro>=60_cnt_rate,pro>=60_error,pro>=60_error_rate,pro>=50_cnt,pro>=50_cnt_rate,pro>=50_error,pro>=50_error_rate
201807031011_N0001,500,4,0.8,0.8,0.8,27070,10860,0.40118212042851864,2018-07-03 10:18:23.750230,2018-07-03 10:18:23.761140,10910,2808,0.10373106760251201,73,0.025997150997150997,5137,0.1897672700406354,313,0.06093050418532217,8527,0.3149981529368304,1498,0.17567726046675267,17921,0.6620243812338382,6416,0.358015735729033,27070,1.0,10860,0.40118212042851864
201807031011_N0001,1000,4,0.7,0.8,0.8,27070,10583,0.39094939046915406,2018-07-03 10:27:35.005404,2018-07-03 10:27:35.095725,90321,3365,0.12430735131141485,205,0.06092124814264487,6148,0.22711488732914667,721,0.11727391021470397,10464,0.3865533801256003,2450,0.23413608562691132,18661,0.6893609161433321,6594,0.35335726917099836,27070,1.0,10583,0.39094939046915406
201807031011_N0002,1000,4,0.7,0.8,0.8,27070,10522,0.38869597340229034,2018-07-03 10:35:44.127613,2018-07-03 10:35:44.136778,9165,3448,0.1273734761728851,250,0.07250580046403712,6500,0.24011821204285186,886,0.1363076923076923,10931,0.4038049501292944,2672,0.24444241149025706,18962,0.7004802364240857,6644,0.3503849804872904,27070,1.0,10522,0.38869597340229034
201807031011_N0003,1000,4,0.7,0.8,0.8,27070,10549,0.38969338751385296,2018-07-03 10:53:56.080913,2018-07-03 10:53:56.093295,12382,3948,0.14584410786848911,417,0.10562310030395136,7394,0.2731437015145918,1259,0.17027319448201245,12074,0.44602881418544515,3287,0.27223786648997844,19333,0.7141854451422238,6725,0.3478508250142244,27070,1.0,10549,0.38969338751385296
201807031011_N0004,1000,4,0.55,0.8,0.8,27070,10437,0.3855559660140377,2018-07-03 11:06:35.578356,2018-07-03 11:06:35.584254,5898,4008,0.1480605836719616,457,0.11402195608782435,7449,0.27517547100110823,1306,0.17532554705329575,12283,0.4537495382342076,3390,0.2759912073597655,19460,0.7188769855929072,6819,0.3504110996916752,27070,1.0,10437,0.3855559660140377
18070301_N0004,1000,4,0.55,0.8,0.8,49012,18482,0.3770913245735738,2018-07-03 15:18:32.754240,2018-07-03 15:18:32.755541,1301,2213,0.04515220762262303,303,0.13691821057388162,5995,0.12231698359585408,1114,0.18582151793160967,15657,0.31945237900922224,3984,0.25445487641310593,32767,0.6685505590467641,10787,0.32920316171758174,49012,1.0,18482,0.3770913245735738
18070301_N0003,1000,4,0.8,0.9,0.9,49012,18531,0.378091079735575,2018-07-03 15:26:22.911857,2018-07-03 15:26:22.913134,1277,2024,0.04129600914061862,243,0.12005928853754941,5789,0.11811393128213499,982,0.16963206080497495,15049,0.3070472537337795,3741,0.24858794604292644,32311,0.659246715090182,10564,0.3269474791866547,49012,1.0,18531,0.378091079735575
18070301_N0002,1000,5,0.7,0.8,0.8,49012,18479,0.3770301150738595,2018-07-03 15:29:44.678857,2018-07-03 15:29:44.679991,1134,2281,0.04653962294948176,289,0.12669881630863655,6171,0.1259079409124296,1154,0.18700372711067897,16369,0.33397943360809595,4204,0.256826928951066,33000,0.6733044968579124,10822,0.3279393939393939,49012,1.0,18479,0.3770301150738595
18070301_N0001,1000,10,0.7,0.8,0.8,49012,18560,0.37868277156614705,2018-07-03 15:37:31.213399,2018-07-03 15:37:31.214584,1185,7756,0.15824695992818086,2447,0.3154976792160908,15277,0.3116991757120705,4950,0.3240164953852196,26053,0.531563698686036,8792,0.33746593482516407,39357,0.803007426752632,13977,0.35513377544020125,49012,1.0,18560,0.37868277156614705
18070301_N0002,1000,6,0.8,0.9,0.9,49012,18553,0.3785399494001469,2018-07-03 15:42:23.652446,2018-07-03 15:42:23.654257,1811,4127,0.08420386844038194,982,0.23794523867215894,9828,0.20052232106422918,2597,0.26424501424501423,20618,0.42067248837019505,6261,0.303666699000873,35894,0.7323512609156941,12299,0.3426477962890734,49012,1.0,18553,0.3785399494001469
18070301_N0002,1000,5,0.8,0.9,0.9,49012,18421,0.37584673141271524,2018-07-03 15:45:56.848387,2018-07-03 15:45:56.849584,1197,2302,0.04696808944748225,315,0.1368375325803649,6510,0.1328246143801518,1263,0.19400921658986175,16397,0.33455072227209665,4292,0.26175519912179057,33233,0.6780584346690607,10953,0.32958204194625823,49012,1.0,18421,0.37584673141271524
