输入商标名,历史商标名,输入商标编号,历史商标编号,两个商标有共同小项？,汉字编辑距离相似度,拼音相似度,汉字包含被包含,汉字排列组合,汉字含义相近,汉字字形相似度,英文编辑距离相似度,英文包含被包含,英文排列组合,数字完全匹配,商标状态,历史商标状态,是否相似商标
小白用车,大白小白,17595812A,16725294,False,0.25,0.41,0.5,0.5,0.47,0.71,0.0,0.0,0.0,0.0,1,1,1
小白用车,小马用车,17595812A,15462382,True,0.75,0.88,0.5,0.75,0.92,0.68,0.0,0.0,0.0,0.0,1,1,1
永之星,杏芝堂,17173450,11004326,False,0.0,0.69,0.0,0.0,0.02,0.37,0.0,0.0,0.0,0.0,1,1,1
永之星,永兴,17173450,1174552,False,0.33,0.69,0.33,0.33,0.63,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,星之红,17173450,15364699,False,0.33,0.69,0.33,0.67,0.64,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,KK之星,17173450,15360381,False,0.5,0.69,0.67,0.5,0.85,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,之星,17173450,15365148,False,0.67,0.62,0.67,0.67,0.91,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,星之源,17173450,15356031,False,0.33,0.54,0.33,0.67,0.63,0.61,0.0,0.0,0.0,0.0,1,1,1
永之星,疆之星,17173450,15380605,False,0.67,0.79,0.67,0.67,0.91,0.36,0.0,0.0,0.0,0.0,1,1,1
永之星,勇者之星,17173450,17086402,False,0.5,0.76,0.67,0.5,0.86,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,九之星,17173450,17122180,False,0.67,0.69,0.67,0.67,0.92,0.64,0.0,0.0,0.0,0.0,1,1,1
永之星,婴质行,17173450,17151771,False,0.0,0.92,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,1,1,1
永之星,涌之泉,17173450,17155237,False,0.33,0.69,0.33,0.33,0.63,0.41,0.0,0.0,0.0,0.0,1,1,1
永之星,品致行,17173450,16128004,False,0.0,0.77,0.0,0.0,0.03,0.25,0.0,0.0,0.0,0.0,1,1,1
永之星,鑫之星,17173450,4070214,False,0.67,0.77,0.67,0.67,0.92,0.24,0.0,0.0,0.0,0.0,1,1,1
永之星,韩智星,17173450,10899180,False,0.33,0.77,0.33,0.33,0.61,0.29,0.0,0.0,0.0,0.0,1,1,1
永之星,锦之兴,17173450,10898485,False,0.33,0.77,0.33,0.33,0.64,0.46,0.0,0.0,0.0,0.0,1,1,1
永之星,永兴,17173450,1549615,False,0.33,0.69,0.33,0.33,0.63,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,鹿之星,17173450,13638103,False,0.67,0.69,0.67,0.67,0.93,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,优智星,17173450,13621510,False,0.33,0.85,0.33,0.33,0.59,0.5,0.0,0.0,0.0,0.0,1,1,1
永之星,峰之星,17173450,16421088,False,0.67,0.85,0.67,0.67,0.92,0.6,0.0,0.0,0.0,0.0,1,1,1
永之星,星之耀,17173450,12353802,False,0.33,0.54,0.33,0.67,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,永兴,17173450,12315119,False,0.33,0.69,0.33,0.33,0.63,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,永兴,17173450,16738554,False,0.33,0.69,0.33,0.33,0.63,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,永幸 YOLUCKY,17173450,16517259,False,0.33,0.69,0.33,0.33,0.58,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,州之星,17173450,16515846,False,0.67,0.69,0.67,0.67,0.92,0.64,0.0,0.0,0.0,0.0,1,1,1
永之星,兴百姓,17173450,16463635,False,0.0,0.69,0.0,0.0,0.01,0.48,0.0,0.0,0.0,0.0,1,1,1
永之星,兴百姓,17173450,16463682,False,0.0,0.69,0.0,0.0,0.01,0.48,0.0,0.0,0.0,0.0,1,1,1
永之星,恒之兴,17173450,16469228,False,0.33,0.85,0.33,0.33,0.62,0.42,0.0,0.0,0.0,0.0,1,1,1
永之星,星之岚,17173450,16469911,False,0.33,0.62,0.33,0.67,0.62,0.63,0.0,0.0,0.0,0.0,1,1,1
永之星,陶之星,17173450,16472743,False,0.67,0.69,0.67,0.67,0.91,0.37,0.0,0.0,0.0,0.0,1,1,1
永之星,用之友,17173450,16479281,False,0.33,0.69,0.33,0.33,0.6,0.51,0.0,0.0,0.0,0.0,1,1,1
永之星,用之友,17173450,16479449,False,0.33,0.69,0.33,0.33,0.6,0.51,0.0,0.0,0.0,0.0,1,1,1
永之星,安之星,17173450,16478481,False,0.67,0.77,0.67,0.67,0.91,0.89,0.0,0.0,0.0,0.0,1,1,1
永之星,晶之星,17173450,16475776,False,0.67,0.85,0.67,0.67,0.92,0.46,0.0,0.0,0.0,0.0,1,1,1
永之星,用之友,17173450,16479341,False,0.33,0.69,0.33,0.33,0.6,0.51,0.0,0.0,0.0,0.0,1,1,1
永之星,绒之星,17173450,14532235,False,0.67,0.92,0.67,0.67,0.92,0.61,0.0,0.0,0.0,0.0,1,1,1
永之星,雅之星,17173450,3484456,False,0.67,0.77,0.67,0.67,0.91,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,发之行,17173450,16853857,False,0.33,0.69,0.33,0.33,0.63,0.44,0.0,0.0,0.0,0.0,1,1,1
永之星,永诚智星,17173450,16224036,False,0.5,0.68,0.33,0.5,0.85,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,珠之星,17173450,16235223,False,0.67,0.69,0.67,0.67,0.91,0.4,0.0,0.0,0.0,0.0,1,1,1
永之星,安之行,17173450,16206190,False,0.33,0.77,0.33,0.33,0.57,0.67,0.0,0.0,0.0,0.0,1,1,1
永之星,美之行,17173450,16197317,False,0.33,0.69,0.33,0.33,0.61,0.39,0.0,0.0,0.0,0.0,1,1,1
永之星,蚕之星,17173450,13151653,False,0.67,0.77,0.67,0.67,0.92,0.63,0.0,0.0,0.0,0.0,1,1,1
永之星,永祥兴,17173450,4669634,False,0.33,0.67,0.33,0.33,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,永祥兴,17173450,4669617,False,0.33,0.67,0.33,0.33,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,永祥兴,17173450,4669618,False,0.33,0.67,0.33,0.33,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,永祥兴,17173450,4669636,False,0.33,0.67,0.33,0.33,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,永祥兴,17173450,4669635,False,0.33,0.67,0.33,0.33,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,育之星,17173450,11197660,False,0.67,0.77,0.67,0.67,0.92,0.66,0.0,0.0,0.0,0.0,1,1,1
永之星,康之兴,17173450,4377934,False,0.33,0.85,0.33,0.33,0.61,0.43,0.0,0.0,0.0,0.0,1,1,1
永之星,朗之行,17173450,16076641,False,0.33,0.85,0.33,0.33,0.6,0.41,0.0,0.0,0.0,0.0,1,1,1
永之星,花之星,17173450,16076356,False,0.67,0.69,0.67,0.67,0.92,0.27,0.0,0.0,0.0,0.0,1,1,1
永之星,港之星,17173450,16080623,False,0.67,0.85,0.67,0.67,0.92,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,创智星,17173450,16101098,False,0.33,0.73,0.33,0.33,0.63,0.56,0.0,0.0,0.0,0.0,1,1,1
永之星,勇兴,17173450,16091893,False,0.0,0.69,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,勇兴,17173450,16091854,False,0.0,0.69,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,星之盟,17173450,6207110,False,0.33,0.69,0.33,0.67,0.64,0.47,0.0,0.0,0.0,0.0,1,1,1
永之星,醒芝青,17173450,15504469,False,0.0,0.77,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,1,1,1
永之星,兴之欣,17173450,15509326,False,0.33,0.77,0.33,0.33,0.61,0.39,0.0,0.0,0.0,0.0,1,1,1
永之星,永生行,17173450,15532180,False,0.33,0.73,0.33,0.33,0.66,0.52,0.0,0.0,0.0,0.0,1,1,1
永之星,美芝星,17173450,15521137,False,0.33,0.69,0.33,0.33,0.62,0.61,0.0,0.0,0.0,0.0,1,1,1
永之星,陉之林,17173450,15479360,False,0.33,0.69,0.33,0.33,0.6,0.41,0.0,0.0,0.0,0.0,1,1,1
